,KCNTOMS,QPROREL,UAVLEGM,UAVLEGS,KLAMPO95,KLAMPO147,KLAMPO148,KLAMPO149,ZVCT,ZINST63,KBCDO17,KBCDO18,KBCDO19,KBCDO20,KBCDO21,KBCDO22,KLAMPO224,KLAMPO22,KLAMPO150,KLAMPO244,KLAMPO241,KLAMPO242,KLAMPO243,KLAMPO181,KLAMPO182,KLAMPO183,CAXOFF,R,S,UP_D,UP_O,DOWN_D,DOWN_O,Act,time
0,6,0.02006540074944496,291.986572265625,291.70001220703125,1,1,1,1,74.44483184814453,34.31988525390625,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6270362138748169,0.039668554687500544,0,292.97,294.97,290.97,288.97,0,0
1,6,0.02006540074944496,291.986572265625,291.70001220703125,1,1,1,1,74.44483184814453,34.31988525390625,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6270362138748169,0.039668554687500544,1,292.97,294.97,290.97,288.97,0,5
2,17,0.02007344365119934,292.0706481933594,291.70001220703125,1,1,1,1,74.44474029541016,34.46465301513672,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269553899765015,0.038517236132812514,2,292.99651,294.99651,290.99651,288.99651,0,10
3,24,0.020060086622834206,292.1139221191406,291.70001220703125,1,1,1,1,74.44488525390625,34.54264831542969,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269392967224121,0.03798915761718831,3,293.01338000000004,295.01338000000004,291.01338000000004,289.01338000000004,0,15
4,30,0.020045557990670204,292.1353759765625,291.70001220703125,1,1,1,1,74.44507598876953,34.58129119873047,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269307732582092,0.037849280468750524,4,293.02784,295.02784,291.02784,289.02784,0,20
5,36,0.02003156766295433,292.1473693847656,291.70001220703125,1,1,1,1,74.44530487060547,34.60209655761719,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269238591194153,0.03789861230468773,5,293.0423,295.0423,291.0423,289.0423,0,25
6,42,0.020019013434648514,292.1517028808594,291.70001220703125,1,1,1,1,74.44552612304688,34.6088752746582,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269177198410034,0.03810114238281358,6,293.05676000000005,295.05676000000005,291.05676000000005,289.05676000000005,0,30
7,47,0.020010167732834816,292.1488342285156,291.70001220703125,1,1,1,1,74.4456787109375,34.60254669189453,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269162893295288,0.038399515429688336,7,293.06881000000004,295.06881000000004,291.06881000000004,289.06881000000004,0,35
8,53,0.020002305507659912,292.13720703125,291.70001220703125,1,1,1,1,74.44583129882812,34.57909393310547,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269192099571228,0.038921259375000544,8,293.08327,295.08327,291.08327,289.08327,0,40
9,60,0.01999780721962452,292.1184997558594,291.70001220703125,1,1,1,1,74.44593811035156,34.538997650146484,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269214153289795,0.039632804882812706,9,293.10014,295.10014,291.10014,289.10014,0,45
